Name,Rating,Reviews,Location,Type
Kamakhya Temple,4.7,135000,Nilachal Hill,Religious Site
Assam State Zoo cum Botanical Garden,4.2,25000,Hengrabari,Zoo & Park
Umananda Temple,4.6,18000,Peacock Island,Religious Site
Nehru Park,4.2,18800,Pan Bazaar,Park
Shraddhanjali Kanan,4.1,11700,RG Baruah Road,Park
Brahmaputra River Cruise,4.5,5000,Fancy Bazar Ghat,Tourist Attraction
Assam State Museum,4.3,4500,Dighalipukhuri,Museum
Guwahati Planetarium,4.2,3800,MG Road,Science Center
Deepor Beel,4.4,2100,Southwest Guwahati,Wildlife Sanctuary
Srimanta Sankaradeva Kalakshetra,4.6,8200,Panjabari,Cultural Center
Purva Tirupati Sri Balaji Temple,4.7,12000,Betkuchi,Religious Site
Dighalipukhuri Park,4.3,4600,Pan Bazaar,Park
Sukreswar Ghat Park,4.4,5600,Pan Bazaar,Park
Accoland,4.0,7500,Patgaon,Amusement Park
Regional Science Centre,4.5,6200,Khanapara,Science Center
Basistha Temple,4.6,5400,Beltola,Religious Site
Navagraha Temple,4.5,3200,Chitrachal Hill,Religious Site
Fancy Bazar,4.1,45000,Fancy Bazar,Market/Tourist Spot
Amrit Udyan,4.2,1300,Hengrabari,Park
Saraighat War Memorial Park,4.1,514,Amingaon,Park
Alfresco Grand River Cruise,4.3,2800,MG Road,Tourist Attraction
Pobitora Wildlife Sanctuary,4.5,4200,Morigaon (Near Ghy),Wildlife Sanctuary
Dr. Bhupen Hazarika Memorial,4.5,1500,Jalukbari,Park/Memorial
